|Territory|Population
0|World|7980991000
1|China|1412600000
2|India|1375586000
3|United States|331893745
4|Indonesia|275773800
5|Pakistan|229489000
6|Nigeria|216747000
7|Brazil|215196745
8|Bangladesh|165158616
9|Russia|145100000
10|Mexico|128533664
11|Japan|125927902
12|Philippines|112480621
13|Ethiopia|105163988
14|Egypt|103883546
15|Vietnam|98506193
16|DR Congo|95241000
17|Iran|85810997
18|Turkey|84680273
19|Germany|84079811
20|France|67918000
21|United Kingdom|67081234
22|Thailand|66840842
23|Tanzania|61280743
24|South Africa|60604992
25|Italy|58867239
26|Myanmar|55294979
27|South Korea|51638809
28|Colombia|51049498
29|Kenya|47564296
30|Spain|47432805
31|Argentina|47327407
32|Algeria|45400000
33|Sudan|44788355
34|Uganda|42885900
35|Iraq|41190700
36|Ukraine|41130432
37|Canada|38954158
38|Poland|37996000
39|Morocco|36733251
40|Uzbekistan|35793661
41|Saudi Arabia|35013414
42|Peru|33396698
43|Angola|33086278
44|Afghanistan|32890171
45|Malaysia|32742600
46|Mozambique|31616078
47|Yemen|31155000
48|Ghana|30832019
49|Ivory Coast|29389150
50|Venezuela|29267000
51|Nepal|29192480
52|Madagascar|26923353
53|Australia|25972958
54|North Korea|25660000
55|Cameroon|24348251
56|Niger|24112753
57|Taiwan|23375314
58|Sri Lanka|22156000
59|Burkina Faso|21510181
60|Malawi|21507723
61|Mali|21474000
62|Chile|19678363
63|Kazakhstan|19316432
64|Romania|19038098
65|Zambia|18400556
66|Syria|18276000
67|Ecuador|18071208
68|Netherlands|17747360
69|Senegal|17223497
70|Guatemala|17109746
71|Chad|16818391
72|Somalia|16360000
73|Cambodia|15552211
74|Zimbabwe|15178979
75|South Sudan|13249924
76|Rwanda|12955768
77|Guinea|12907395
78|Burundi|12574571
79|Benin|12506347
80|Tunisia|11803588
81|Bolivia|11797257
82|Haiti|11743017
83|Belgium|11671737
84|Jordan|11307512
85|Cuba|11113215
86|Dominican Republic|10535535
87|Czech Republic|10493986
88|Sweden|10493565
89|Greece|10432481
90|Portugal|10344802
91|Azerbaijan|10185784
92|Hungary|9689000
93|Israel|9582140
94|Honduras|9546178
95|Tajikistan|9506000
96|United Arab Emirates|9282410
97|Belarus|9255524
98|Papua New Guinea|9122994
99|Austria|9061848
100|Switzerland|8770283
101|Sierra Leone|8297882
102|Togo|7886000
103|Hong Kong (China)|7403100
104|Paraguay|7353038
105|Laos|7337783
106|Libya|7054493
107|El Salvador|6825935
108|Serbia|6797105
109|Lebanon|6769000
110|Kyrgyzstan|6800000
111|Nicaragua|6595674
112|Bulgaria|6520314
113|Turkmenistan|6118000
114|Denmark|5910577
115|Congo|5657000
116|Central African Republic|5633412
117|Finland|5522135
118|Singapore|5453600
119|Norway|5455582
120|Slovakia|5434712
121|Palestine|5227193
122|Costa Rica|5163038
123|New Zealand|5129287
124|Ireland|5123536
125|Kuwait|4670713
126|Liberia|4661010
127|Oman|4527446
128|Panama|4278500
129|Mauritania|4271197
130|Croatia|3888529
131|Georgia|3688600
132|Eritrea|3601000
133|Uruguay|3554915
134|Mongolia|3459576
135|Bosnia and Herzegovina|3320954
136|Puerto Rico (United States)|3285874
137|Armenia|2963900
138|Lithuania|2830097
139|Albania|2829741
140|Qatar|2799202
141|Jamaica|2734093
142|Moldova|2597100
143|Namibia|2550226
144|Gambia|2487000
145|Botswana|2410338
146|Gabon|2233272
147|Lesotho|2159000
148|Slovenia|2108977
149|Latvia|1893400
150|North Macedonia|1832696
151|Kosovo|1798188
152|Guinea-Bissau|1646077
153|Equatorial Guinea|1505588
154|Bahrain|1501635
155|Trinidad and Tobago|1367558
