|Territory|Population
0|California|39237836.0
1|Texas|29527941.0
2|Florida|21781128.0
3|New York|19835913.0
4|Pennsylvania|12964056.0
5|Illinois|12671469.0
6|Ohio|11780017.0
7|Georgia|10799566.0
8|North Carolina|10551162.0
9|Michigan|10050811.0
10|New Jersey|9267130.0
11|Virginia|8642274.0
12|Washington|7738692.0
13|Arizona|7276316.0
14|Massachusetts|6984723.0
15|Tennessee|6975218.0
16|Indiana|6805985.0
17|Missouri|6168187.0
18|Maryland|6165129.0
19|Wisconsin|5895908.0
20|Colorado|5812069.0
21|Minnesota|5707390.0
22|South Carolina|5190705.0
23|Alabama|5039877.0
24|Louisiana|4624047.0
25|Kentucky|4509394.0
26|Oregon|4246155.0
27|Oklahoma|3986639.0
28|Connecticut|3605597.0
29|Utah|3322389.0
30|Puerto Rico|3263584.0
31|Iowa|3193079.0
32|Nevada|3143991.0
33|Arkansas|3025891.0
34|Mississippi|2949965.0
35|Kansas|2934582.0
36|New Mexico|2115877.0
37|Nebraska|1963692.0
38|Idaho|1900923.0
39|West Virginia|1782959.0
40|Hawaii|1441553.0
41|New Hampshire|1388992.0
42|Maine|1372247.0
43|Rhode Island|1095610.0
44|Montana|1104271.0
45|Delaware|1003384.0
46|South Dakota|895376.0
47|North Dakota|774948.0
48|Alaska|732673.0
49|District of Columbia|670050.0
50|Vermont|645570.0
51|Wyoming|578803.0
52|Guam[10]|
53|U.S. Virgin Islands[11]|
54|American Samoa[12]|
55|Northern Mariana Islands[13]|
56|Contiguous United States|329719519.0
57|The 50 states|331223695.0
58|The 50 states and D.C.|331893745.0
59|Total United States|
